sample_type,time_year,eta_mean,eta_ci95_low,eta_median,eta_ci95_high,beta_mean,beta_ci95_low,beta_median,beta_ci95_high,pf_mean,pf_ci95_low,pf_median,pf_ci95_high,qservice_max_beta3_mean,qservice_max_beta3_ci95_low,qservice_max_beta3_median,qservice_max_beta3_ci95_high
posterior,22.0,0.6852534903307838,0.5738481485512075,0.6858927022663516,0.7926866293848845,1.7231153557449088,1.5206185079187886,1.7256329901921954,1.9107650652920705,0.04321573578655971,0.028015697388162706,0.04220610392046745,0.06417763101402986,632.0994341623161,597.3883280523672,632.298596545087,665.5729016806879
posterior,23.0,0.6764053615356123,0.5626609323765175,0.6769515529309942,0.7866577233207452,1.7072600769594133,1.499494465197287,1.7096936165144652,1.9005627651711852,0.04472698573665997,0.028676727449222512,0.04365990760271328,0.0668714776654377,629.342579485712,593.9026725037947,629.5127590047422,663.6944459910737
posterior,24.0,0.6677757628663129,0.5519248003314872,0.6682778718795747,0.7807734181010706,1.6917287353178643,1.4791052672695617,1.6941635101948274,1.890577279705012,0.046247813967934856,0.02933914388229482,0.045116648320226625,0.0695556237345839,626.6538133070759,590.5575634392508,626.8102578631418,661.8610442923691
posterior,25.0,0.6593587399968837,0.5414091243722147,0.6597199456054056,0.7749220980614412,1.6765151416394897,1.4590224738297215,1.6787748978735357,1.880620302937633,0.047776946521652694,0.03001044613385553,0.04659680836267167,0.07227831035430086,624.031280407992,587.2811429533971,624.1438230024909,660.0379199472123
posterior,26.0,0.651148518177335,0.5312345682041895,0.6514247053646436,0.7690698658815703,1.6616131880529064,1.4394842152471274,1.6637957644453225,1.870634226811486,0.04931313936093775,0.03069605642534763,0.04807637974214478,0.07500363342067279,621.4731815214194,584.1110068259146,621.5592345114443,658.2145114020684
posterior,27.0,0.6431394962122301,0.5214995789370858,0.6433482857561091,0.7634732051372929,1.6470168494539041,1.4206905376638552,1.6491518021923577,1.8610583384136041,0.05085518037006024,0.03136617006425266,0.04955725451237951,0.07770056978069399,618.9777714555564,581.0778287032872,619.0428250328487,656.4707324965617
posterior,28.0,0.6353262406647417,0.5118549603521256,0.6353201801557872,0.7578251838954987,1.6327201847528672,1.401974333220886,1.6345363277077014,1.8513687498399873,0.05240189105357228,0.03205787251752584,0.05107188530322598,0.08045545857595236,616.54335728797,578.0728078151963,616.5414689856134,654.7109509501521
posterior,29.0,0.6277034802767586,0.5025919719259039,0.6277248741335512,0.7523172208215863,1.618717337925162,1.383906893440211,1.6206540911280187,1.8418943248439603,0.05395212795547563,0.03274375801758728,0.05254569442115191,0.08319075235267541,614.1682966270411,575.1866932984078,614.1749624154257,652.9948080107359
posterior,30.0,0.6202661005960272,0.493577147383379,0.6202589111263005,0.7469486086009995,1.6050025388772238,1.3662362390451286,1.6069560296405543,1.8326356084179127,0.0555047838183141,0.03342678939731393,0.05403072001846844,0.08593048169702858,611.8509959379177,572.3779004141558,611.8487558797431,651.3220832968649
posterior,31.0,0.6130091388017337,0.48471383917075717,0.6129240972442235,0.7415281229411614,1.5915701041404702,1.3487778397476111,1.593447782676064,1.823263275179802,0.057058788501640444,0.034125163546771274,0.05552550998978538,0.08870330310131144,609.589908930295,569.6163162123656,609.563412117132,649.6331961223309
